id,fecha_inicio,fecha_fin,numero_oficio,dirigido_a,departamento,departamento_id,asunto,entregado,cancelado,observacion,mes,elaborado_por_id,registrado_por_id,created_at,updated_at,pdf_nombre_original,pdf_nombre_archivo,pdf_ruta,pdf_mime,pdf_tamano,pdf_subido_at
11,2026-03-30,2026-05-19,EJ-2026-0011,dato-sintetico,Coordinación de Recursos Humanos,3,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,8,4,2026-03-19T12:47:00Z,2026-01-28T07:51:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,48746,2026-04-21T11:24:00Z
12,2026-04-27,2026-07-22,EJ-2026-0012,dato-sintetico,Coordinación de Mantenimiento,2,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,8,2,2026-06-18T18:43:00Z,2026-08-26T07:00:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,60384,2026-06-22T10:56:00Z
13,2026-07-16,2026-07-26,EJ-2026-0013,dato-sintetico,Subdirección Médica,4,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,6,1,2026-07-27T09:44:00Z,2026-03-18T12:56:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,83363,2026-06-29T08:41:00Z
14,2026-03-20,2026-08-14,EJ-2026-0014,dato-sintetico,Coordinación de Enseñanza,4,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,3,3,2026-05-05T16:07:00Z,2026-03-24T12:52:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,49776,2026-03-16T14:21:00Z
15,2026-05-20,2026-01-25,EJ-2026-0015,dato-sintetico,Subdirección Administrativa,8,Asunto de ejemplo para el registro de muestra,false,true,Dato de muestra sintético (no es información real).,dato-sintetico,7,1,2026-03-17T11:10:00Z,2026-05-22T18:24:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,8666,2026-04-02T13:51:00Z
16,2026-06-03,2026-06-19,EJ-2026-0016,dato-sintetico,Dirección,1,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,2,5,2026-06-15T11:04:00Z,2026-05-22T16:10:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,47765,2026-04-10T14:20:00Z
17,2026-05-26,2026-02-14,EJ-2026-0017,dato-sintetico,Coordinación de Recursos Humanos,7,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,3,3,2026-05-18T16:41:00Z,2026-02-10T17:38:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,10064,2026-01-17T11:30:00Z
18,2026-01-25,2026-08-02,EJ-2026-0018,dato-sintetico,Coordinación de Enseñanza,2,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,7,3,2026-01-24T16:25:00Z,2026-02-05T11:29:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,59750,2026-02-13T10:32:00Z
19,2026-03-19,2026-02-04,EJ-2026-0019,dato-sintetico,Coordinación de Informática,7,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,8,2,2026-03-02T16:40:00Z,2026-07-22T10:42:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,90774,2026-07-18T09:31:00Z
20,2026-04-30,2026-03-17,EJ-2026-0020,dato-sintetico,Subdirección Médica,1,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,3,1,2026-03-17T13:41:00Z,2026-02-19T14:12:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,47616,2026-06-27T14:23:00Z
21,2026-02-10,2026-05-09,EJ-2026-0021,dato-sintetico,Dirección,1,Asunto de ejemplo para el registro de muestra,false,true,Dato de muestra sintético (no es información real).,dato-sintetico,2,8,2026-05-06T13:21:00Z,2026-05-07T10:49:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,57846,2026-03-24T10:13:00Z
22,2026-06-11,2026-02-14,EJ-2026-0022,dato-sintetico,Coordinación de Enseñanza,7,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,8,5,2026-05-05T13:17:00Z,2026-02-11T07:00:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,9120,2026-06-24T18:44:00Z
23,2026-05-22,2026-01-26,EJ-2026-0023,dato-sintetico,Subdirección Administrativa,8,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,3,4,2026-02-04T14:39:00Z,2026-03-16T08:22:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,42289,2026-03-29T07:14:00Z
24,2026-04-21,2026-05-26,EJ-2026-0024,dato-sintetico,Coordinación de Informática,2,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,5,1,2026-05-14T08:03:00Z,2026-07-25T13:35:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,20569,2026-05-01T14:22:00Z
25,2026-07-10,2026-08-16,EJ-2026-0025,dato-sintetico,Subdirección Administrativa,1,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,7,4,2026-06-18T12:35:00Z,2026-08-20T11:25:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,49472,2026-02-16T08:12:00Z
26,2026-04-16,2026-07-28,EJ-2026-0026,dato-sintetico,Coordinación de Informática,7,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,5,1,2026-01-21T18:00:00Z,2026-04-10T07:15:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,8803,2026-07-20T09:44:00Z
27,2026-05-04,2026-04-14,EJ-2026-0027,dato-sintetico,Coordinación de Enfermería,4,Asunto de ejemplo para el registro de muestra,false,false,Dato de muestra sintético (no es información real).,dato-sintetico,2,1,2026-08-19T10:03:00Z,2026-03-16T18:17:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,65085,2026-02-24T14:46:00Z
28,2026-05-06,2026-05-24,EJ-2026-0028,dato-sintetico,Dirección,5,Asunto de ejemplo para el registro de muestra,true,true,Dato de muestra sintético (no es información real).,dato-sintetico,1,6,2026-08-31T13:19:00Z,2026-08-30T08:38:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,33379,2026-08-06T14:32:00Z
29,2026-08-22,2026-05-21,EJ-2026-0029,dato-sintetico,Dirección,6,Asunto de ejemplo para el registro de muestra,true,false,Dato de muestra sintético (no es información real).,dato-sintetico,5,4,2026-04-17T13:29:00Z,2026-04-12T10:59:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,75635,2026-08-27T08:46:00Z
30,2026-03-30,2026-06-03,EJ-2026-0030,dato-sintetico,Coordinación de Informática,1,Asunto de ejemplo para el registro de muestra,true,true,Dato de muestra sintético (no es información real).,dato-sintetico,4,6,2026-06-30T11:34:00Z,2026-08-07T12:25:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,11410,2026-07-10T17:14:00Z
