id,usuario_id,accion,modulo,descripcion,registro_id,ip,user_agent,timestamp,tabla_objetivo,registro_etiqueta,datos_antes,datos_despues,campos_modificados,metadata
11,8,ACTUALIZAR,cuentas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-05-25T14:27:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
12,4,ELIMINAR,suministro-toners-hojas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-07-19T14:04:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
13,4,CREAR,historico-reubicaciones,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-05-05T09:46:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
14,8,ACTUALIZAR,licenciamientos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-01-13T11:27:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
15,5,ELIMINAR,oficios-recibidos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-03-09T10:08:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
16,1,CREAR,oficios-realizados,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-04-07T11:19:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
17,8,ACTUALIZAR,notas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-03-10T12:43:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
18,2,ELIMINAR,cuentas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-24T15:46:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
19,5,CREAR,suministro-toners-hojas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-02-20T16:27:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
20,2,ACTUALIZAR,historico-reubicaciones,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-06-02T10:14:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
21,2,ELIMINAR,licenciamientos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-04T14:40:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
22,1,CREAR,oficios-recibidos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-06-24T13:33:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
23,5,ACTUALIZAR,oficios-realizados,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-05-24T17:43:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
24,7,ELIMINAR,notas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-04-13T09:13:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
25,8,CREAR,cuentas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-04-15T08:50:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
26,4,ACTUALIZAR,suministro-toners-hojas,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-08-12T14:10:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
27,5,ELIMINAR,historico-reubicaciones,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-01-19T10:56:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
28,1,CREAR,licenciamientos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-03-27T15:30:00Z,oficios_recibidos,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
29,7,ACTUALIZAR,oficios-recibidos,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-06-23T12:54:00Z,cuentas_usuario,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
30,6,ELIMINAR,oficios-realizados,Dato de muestra sintético (no es información real).,dato-sintetico,192.168.0.100,Mozilla/5.0 (demo),2026-07-27T18:36:00Z,entregas_suministro,Texto sintético de ejemplo.,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico
